od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
7->8,7,8,399,401,25.0,0.15,3.75,21.25,0.0,False,1.0,1189.84270608514,1189.84270608514,1427.8112473021679,0.0,237.96854121702802
7->9,7,9,399,407,4.0,0.15,0.6,3.4,1.0,True,0.10284664995637349,1663.5945823653296,1658.4295620004586,1990.1154744005503,170.56392464036298,331.68591240009175
8->1,8,1,401,393,4.0,0.15,0.6,3.4,0.0,False,1.0,1917.9166781380889,1729.7570559746396,2075.7084671695675,0.0,345.9514111949279
8->10,8,10,401,408,6.0,0.15,0.8999999999999999,5.1,0.0,False,1.0,440.767208463185,440.767208463185,528.9206501558219,0.0,88.153441692637
8->11,8,11,401,409,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,817.1769133764741,817.1769133764741,980.6122960517689,0.0,163.43538267529482
8->12,8,12,401,410,2.0,0.15,0.3,1.7,0.0,False,1.0,1090.727623635074,1074.1229439827641,1288.9475327793168,0.0,214.82458879655283
8->13,8,13,401,412,2.0,0.15,0.3,1.7,0.0,False,1.0,1189.376913376474,1074.1179439827638,1288.9415327793165,0.0,214.82358879655277
8->14,8,14,401,414,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,1684.2186236350742,1667.613943982764,2001.1367327793168,0.0,333.52278879655285
8->2,8,2,401,394,2.0,0.15,0.3,1.7,1.0,True,0.19953391982192586,2459.4197142710314,2322.0523551919514,2786.4628262303418,463.328208463185,464.4104710383903
8->3,8,3,401,395,2.0,0.15,0.3,1.7,0.0,False,1.0,1640.2769067912438,1479.2932203624243,1775.1518644349092,0.0,295.8586440724849
8->5,8,5,401,397,3.0,0.15,0.44999999999999996,2.55,0.0,False,1.0,980.735188149364,945.6463144400582,1134.7755773280699,0.0,189.12926288801165
8->6,8,6,401,398,3.0,0.85,2.55,0.45000000000000007,0.0,False,1.0,2089.289152537247,1745.7256487816699,2094.870778538004,0.0,349.145129756334
8->7,8,7,401,399,19.0,0.15,2.85,16.15,0.0,False,1.0,1189.8427060851402,1189.8427060851402,1427.811247302168,0.0,237.96854121702805
8->9,8,9,401,407,1.0,0.15,0.15,0.85,0.0,False,1.0,711.649774937216,711.649774937216,853.9797299246592,0.0,142.3299549874432
9->10,9,10,407,408,2.0,0.15,0.3,1.7,0.0,False,1.0,377.601151540438,377.601151540438,453.12138184852563,0.0,75.5202303080876
9->11,9,11,407,409,1.0,0.15,0.15,0.85,1.0,True,0.0,504.817848697858,501.199848697858,601.4398184374296,0.0,100.2399697395716
9->12,9,12,407,410,3.0,0.85,2.55,0.45000000000000007,1.0,True,0.0,379.07784869785803,379.07784869785803,454.8934184374296,0.0,75.81556973957161
